0,Off,LLN0.Zero.mag.f
1A82,SRC 3 Phase BG Voltage RMS,ACsrcMMXU3.VbRMS.instMag.f
1A84,SRC 3 Phase CG Voltage RMS,ACsrcMMXU3.VcRMS.instMag.f
1888,SRC 3 Phase A Current Magnitude,ACsrcMMXU3.A.phsA.instCVal.mag.f
188A,SRC 3 Phase A Current Angle,ACsrcMMXU3.A.phsA.instCVal.ang.f
188B,SRC 3 Phase B Current Magnitude,ACsrcMMXU3.A.phsB.instCVal.mag.f
188D,SRC 3 Phase B Current Angle,ACsrcMMXU3.A.phsB.instCVal.ang.f
188E,SRC 3 Phase C Current Magnitude,ACsrcMMXU3.A.phsC.instCVal.mag.f
1890,SRC 3 Phase C Current Angle,ACsrcMMXU3.A.phsC.instCVal.ang.f
1891,SRC 3 Neutral Current Magnitude,ACsrcMMXU3.A.res.instCVal.mag.f
1893,SRC 3 Neutral Current Angle,ACsrcMMXU3.A.res.instCVal.ang.f
1880,SRC 3 Phase A Current RMS,ACsrcMMXU3.AaRMS.instMag.f
1882,SRC 3 Phase B Current RMS,ACsrcMMXU3.AbRMS.instMag.f
1884,SRC 3 Phase C Current RMS,ACsrcMMXU3.AcRMS.instMag.f
1886,SRC 3 Neutral Current RMS,ACsrcMMXU3.AresRMS.instMag.f
18A2,SRC 3 Differential Ground Current Magnitude,ACsrcMMXU3.Adif.instCVal.mag.f
18A4,SRC 3 Differential Ground Current Angle,ACsrcMMXU3.Adif.instCVal.ang.f
1C42,SRC 3 Phase A Real Power,ACsrcMMXU3.W.phsA.instCVal.mag.f
1C44,SRC 3 Phase B Real Power,ACsrcMMXU3.W.phsB.instCVal.mag.f
1C46,SRC 3 Phase C Real Power,ACsrcMMXU3.W.phsC.instCVal.mag.f
1C4A,SRC 3 Phase A Reactive Power,ACsrcMMXU3.VAr.phsA.instCVal.mag.f
1C4C,SRC 3 Phase B Reactive Power,ACsrcMMXU3.VAr.phsB.instCVal.mag.f
1C4E,SRC 3 Phase C Reactive Power,ACsrcMMXU3.VAr.phsC.instCVal.mag.f
1C52,SRC 3 Phase A Apparent Power,ACsrcMMXU3.VA.phsA.instCVal.mag.f
1C54,SRC 3 Phase B Apparent Power,ACsrcMMXU3.VA.phsB.instCVal.mag.f
1C56,SRC 3 Phase C Apparent Power,ACsrcMMXU3.VA.phsC.instCVal.mag.f
1C59,SRC 3 Phase A Power Factor,ACsrcMMXU3.PF.phsA.instCVal.mag.f
1C5A,SRC 3 Phase B Power Factor,ACsrcMMXU3.PF.phsB.instCVal.mag.f
1C5B,SRC 3 Phase C Power Factor,ACsrcMMXU3.PF.phsC.instCVal.mag.f
1C60,SRC 4 Three Phase Real Power,ACsrcMMXU4.TotW.instMag.f
1C68,SRC 4 Three Phase Reactive Power,ACsrcMMXU4.TotVAr.instMag.f
1C70,SRC 4 Three Phase Apparent Power,ACsrcMMXU4.TotVA.instMag.f
1C78,SRC 4 Three Phase Power Factor,ACsrcMMXU4.TotPF.instMag.f
1D86,SRC 4 Frequency,ACsrcMMXU4.Hz.instMag.f
1AD5,SRC 4 Phase AB Voltage Magnitude,ACsrcMMXU4.PPV.phsAB.instCVal.mag.f
1AD7,SRC 4 Phase AB Voltage Angle,ACsrcMMXU4.PPV.phsAB.instCVal.ang.f
1AD8,SRC 4 Phase BC Voltage Magnitude,ACsrcMMXU4.PPV.phsBC.instCVal.mag.f
1ADA,SRC 4 Phase BC Voltage Angle,ACsrcMMXU4.PPV.phsBC.instCVal.ang.f
1ADB,SRC 4 Phase CA Voltage Magnitude,ACsrcMMXU4.PPV.phsCA.instCVal.mag.f
1ADD,SRC 4 Phase CA Voltage Angle,ACsrcMMXU4.PPV.phsCA.instCVal.ang.f
1ACF,SRC 4 Phase AB Voltage RMS,ACsrcMMXU4.VabRMS.instMag.f
1AD1,SRC 4 Phase BC Voltage RMS,ACsrcMMXU4.VbcRMS.instMag.f
1AD3,SRC 4 Phase CA Voltage RMS,ACsrcMMXU4.VcaRMS.instMag.f
1AC6,SRC 4 Phase AG Voltage Magnitude,ACsrcMMXU4.PhV.phsA.instCVal.mag.f
1AC8,SRC 4 Phase AG Voltage Angle,ACsrcMMXU4.PhV.phsA.instCVal.ang.f
1AC9,SRC 4 Phase BG Voltage Magnitude,ACsrcMMXU4.PhV.phsB.instCVal.mag.f
1ACB,SRC 4 Phase BG Voltage Angle,ACsrcMMXU4.PhV.phsB.instCVal.ang.f
1ACC,SRC 4 Phase CG Voltage Magnitude,ACsrcMMXU4.PhV.phsC.instCVal.mag.f
1ACE,SRC 4 Phase CG Voltage Angle,ACsrcMMXU4.PhV.phsC.instCVal.ang.f
1AC0,SRC 4 Phase AG Voltage RMS,ACsrcMMXU4.VaRMS.instMag.f
1AC2,SRC 4 Phase BG Voltage RMS,ACsrcMMXU4.VbRMS.instMag.f
1AC4,SRC 4 Phase CG Voltage RMS,ACsrcMMXU4.VcRMS.instMag.f
18C8,SRC 4 Phase A Current Magnitude,ACsrcMMXU4.A.phsA.instCVal.mag.f
18CA,SRC 4 Phase A Current Angle,ACsrcMMXU4.A.phsA.instCVal.ang.f
18CB,SRC 4 Phase B Current Magnitude,ACsrcMMXU4.A.phsB.instCVal.mag.f
18CD,SRC 4 Phase B Current Angle,ACsrcMMXU4.A.phsB.instCVal.ang.f
18CE,SRC 4 Phase C Current Magnitude,ACsrcMMXU4.A.phsC.instCVal.mag.f
18D0,SRC 4 Phase C Current Angle,ACsrcMMXU4.A.phsC.instCVal.ang.f
18D1,SRC 4 Neutral Current Magnitude,ACsrcMMXU4.A.res.instCVal.mag.f
18D3,SRC 4 Neutral Current Angle,ACsrcMMXU4.A.res.instCVal.ang.f
18C0,SRC 4 Phase A Current RMS,ACsrcMMXU4.AaRMS.instMag.f
18C2,SRC 4 Phase B Current RMS,ACsrcMMXU4.AbRMS.instMag.f
18C4,SRC 4 Phase C Current RMS,ACsrcMMXU4.AcRMS.instMag.f
18C6,SRC 4 Neutral Current RMS,ACsrcMMXU4.AresRMS.instMag.f
18E2,SRC 4 Differential Ground Current Magnitude,ACsrcMMXU4.Adif.instCVal.mag.f
18E4,SRC 4 Differential Ground Current Angle,ACsrcMMXU4.Adif.instCVal.ang.f
1C62,SRC 4 Phase A Real Power,ACsrcMMXU4.W.phsA.instCVal.mag.f
1C64,SRC 4 Phase B Real Power,ACsrcMMXU4.W.phsB.instCVal.mag.f
1C66,SRC 4 Phase C Real Power,ACsrcMMXU4.W.phsC.instCVal.mag.f
1C6A,SRC 4 Phase A Reactive Power,ACsrcMMXU4.VAr.phsA.instCVal.mag.f
1C6C,SRC 4 Phase B Reactive Power,ACsrcMMXU4.VAr.phsB.instCVal.mag.f
1C6E,SRC 4 Phase C Reactive Power,ACsrcMMXU4.VAr.phsC.instCVal.mag.f
1C72,SRC 4 Phase A Apparent Power,ACsrcMMXU4.VA.phsA.instCVal.mag.f
1C74,SRC 4 Phase B Apparent Power,ACsrcMMXU4.VA.phsB.instCVal.mag.f
1C76,SRC 4 Phase C Apparent Power,ACsrcMMXU4.VA.phsC.instCVal.mag.f
1C79,SRC 4 Phase A Power Factor,ACsrcMMXU4.PF.phsA.instCVal.mag.f
1C7A,SRC 4 Phase B Power Factor,ACsrcMMXU4.PF.phsB.instCVal.mag.f
